id,reviewer,severity,finding,status,resolution
MR-1,Model risk + Ops,High,Cost model assumed every alerted fraud is stopped; only auto-hold acts before authorisation,Fixed,"Operational simulation (notebook 06) is the headline: saving $189,544 vs rules under the same policy (95% CI $149,958-$231,379); notebook-03 figure kept as an idealised upper bound"
MR-2,Model risk + Ops,High,New fraud patterns are invisible to PSI; a 50-a-month below-threshold sample finds almost nothing,Fixed (design),Review the whole monitor-only band with spare capacity (~6.3 near-miss frauds/month); add score-tail PSI; fast labels from customer reports and dispositions
MR-3,Model risk,High,"Error-rate gaps by age and gender, with no tolerance defined",Open (condition),Card-bootstrap intervals and proposed tolerances in notebook 06; worst age band 65+: 1.66x the lowest false-alert rate (CI 1.32-2.25). Compliance sign-off and a proxy analysis are needed before go-live
MR-4,Model risk,Medium,SMOTE creates impossible synthetic records (fractional categories and hours) and was compared under a different encoding,Open,"Recommended: switch to class weights or no weighting (validation PR-AUC within 0.005, notebook 02) and re-validate before production"
MR-5,Model risk,Medium,"Validation set reused for early stopping, tuning, imbalance choice and all thresholds",Open,Test set untouched until the end; validation results are optimistic. Use rolling time-series CV plus a separate threshold window in production
MR-6,Model risk,Medium,City population works as a customer identifier; most test cards also appear in train,Open,Drop or coarsen the feature and validate on unseen cards before production
MR-7,Model risk,Medium,Card history length grows with calendar time (tenure / time proxy),Open,Documented in the model-risk file; cap or drop before production
MR-8,Model risk,Medium,Standard PSI cannot see changes among alerting scores; December 'no retrain' used immature labels,Fixed,Score-tail PSI and trigger added (notebook 05); December conclusion marked provisional
MR-9,Model risk + Ops,Medium,Benchmark rules were built for this project; annualised saving extrapolated from synthetic data,Fixed (wording),Rules described as a proxy for the current process; saving reported for the test period with a confidence interval; the annualised figure is removed
OPS-1,Ops,High,"Capacity check ignored L2, supervisor and customer-contact work, and peak days",Fixed,p95-day staffing by role in notebook 06: about 2.4 staff-hours/day across roles
OPS-2,Ops,High,"Auto-hold requires immediate customer contact, but most holds are overnight",Fixed (design),90% of holds are at 22:00-04:00; workflow now specifies automated 24/7 confirmation with a time-out rule
OPS-3,Ops,Medium,Headline precision is not what analysts see in the review queues,Fixed,Review-queue precision reported separately (4% in the simulation)
OPS-4,Ops,Medium,No friction cost for wrongly held customers; auto-hold was charged as an analyst review,Fixed,Simulation charges $1 per hold + $10 per wrongly held customer (61 on test)
OPS-5,Ops,Low,The recall-target option missed its 80% target on test,Documented,Thresholds need a safety margin and must be recalibrated on matured recent data
INV-1,Investigator,High,Case report recommended a hold for a priority-review alert,Fixed,Recommended action now follows the band's workflow (route to L1 priority review; contact before disposition)
INV-2,Investigator,Medium,Case selection described inaccurately; the card's earlier confirmed fraud was not reported; no contrary evidence,Fixed,Selection rule stated; confirmed fraud older than 60 days reported; 'facts that do not fit' section added
INV-3,Investigator,Low,Time windows unlabelled; dispositions and roles did not match the workflow; hindsight label in the same file,Fixed,Windows labelled; dispositions and roles aligned; hindsight outcome moved to a separate file
